@relation 'C__Users_frans.DESKTOP-213GP7U_Desktop_p2-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.LovinsStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /Users/xvenve/Gits/IAO-P2/Recursos/StopWordsEN.txt-M10-tokenizerweka.core.tokenizers.CharacterNGramTokenizer -max 3 -min 1-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.unsupervised.attribute.Remove-V-R11,18,25,28,42,69,82,87,106,136,142,168,237,270,299,304,308,366,378,404,409,412,420,499,516,550,591,636,646,689,697-698,706,770,781,823,825,829,853,855,872,886,897,930,1042,1062,1081,1085,1119,1166,1172-1173,1175-1177,1179,1187,1201,1249,1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute ' b' numeric
@attribute ' d' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' n' numeric
@attribute ' w' numeric
@attribute '\'' numeric
@attribute '\'t' numeric
@attribute '. ' numeric
@attribute 'a g' numeric
@attribute abl numeric
@attribute asy numeric
@attribute 'd n' numeric
@attribute e numeric
@attribute ea numeric
@attribute eat numeric
@attribute ed numeric
@attribute fa numeric
@attribute fo numeric
@attribute gif numeric
@attribute gr numeric
@attribute h numeric
@attribute har numeric
@attribute joy numeric
@attribute l numeric
@attribute lov numeric
@attribute n numeric
@attribute nn numeric
@attribute o numeric
@attribute ood numeric
@attribute ot numeric
@attribute 'ot ' numeric
@attribute ov numeric
@attribute re numeric
@attribute ric numeric
@attribute 's y' numeric
@attribute 's!\r' numeric
@attribute 's.\r' numeric
@attribute siz numeric
@attribute sl numeric
@attribute 'sy ' numeric
@attribute 't w' numeric
@attribute tab numeric
@attribute u numeric
@attribute ' ok' numeric
@attribute bac numeric
@attribute etu numeric
@attribute gn numeric
@attribute nsw numeric
@attribute urn numeric
@attribute '\nb' numeric
@attribute '\ng' numeric
@attribute '\nn' numeric
@attribute '\nth' numeric
@attribute '\nw' numeric
@attribute '\r\ng' numeric
@attribute cen numeric
@attribute ttl numeric
@attribute nth numeric
@attribute @@class@@ {excellent,fair,good,poor,verygood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0.385712,0.5916,0.18927,0.444599,0.467892,0.397931,0.482079,0.441483,0.182384,0,0,0,1.152592,0.00204,0.13325,0,0.442858,0,0.151586,0,0,0.066211,0,0,0.055725,0.648218,0.031285,0,0.005784,0,0.564476,0.487366,0.636085,0.264758,0.822477,0,0,0,0,0,0,0.580112,0,0.100268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster3
0,0.791942,0.345897,0.793547,1.252681,0.554718,0,0,0.386964,1.634777,0,0,1.946937,0.003629,0,0,0.510636,0,0,0,1.559506,0.104532,0,0,0.075554,0,0.046807,0,0.010418,1.378759,0.584637,0.82325,1.702984,0.497487,0,0,0,0,0,0,0,0,0,0.137423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
0.249375,0.930695,0.55496,0.739054,0.685954,0.444997,0.653249,0.948187,0.310423,0,0,0,0,0.003026,0.572371,0,0.819268,0,0.755942,0,0,0.092854,1.565039,0,0.06061,0,0.040978,0,0.009245,1.753039,0,0,0,0.399085,1.766457,0,0,0,0,0,0,0.78609,0,0.165361,3.243941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster3
0.727596,0.798302,0.5108,0,1.262742,0.89115,0.820859,1.191471,0,0,0.642759,0,0,0.002837,0,0,0,0,0.648408,0,0,0.05567,0,0,0.076161,0,0.041786,0,0.008929,0,0.589333,0,1.716661,0.178631,0,0,0,0,0,0,0,1.975567,0.750888,0.160824,4.076266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0,0,0.838704,1.040864,0,0,0,0,0.404095,0,0,0,0,0.004126,0.590467,0,0.845169,0,1.064649,0,0,0.115342,0,0,0.053857,0,0.048879,0,0.011408,2.282025,0,0,0,0.464874,2.299492,0,0,0,0,0,0,0,0,0.180252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0.553615,0,0.410673,0.746639,0.507609,0.141822,0,0,0.289868,0,0,0,0,0.002586,0.335662,0,0,1.38458,0.481842,0,0,0.065568,1.158137,1.702494,0.054228,0,0.037884,0,0.007527,1.297258,0,0,0,0.315591,0.824743,0,0,0,0,0,0,0,0,0.040789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0,0,0,0,1.328747,0,2.005603,0,0.379387,0,0,0,0,0.00276,0,0,0.793493,0,0,0,0,0.054145,0,0,0.050564,0,0.04589,0,0.008287,0,1.439916,2.0276,0,0,0,0,0,0,0,0,0,0,0,0.213545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
0.682708,0.619532,0.396412,0,0,0.186893,1.274074,1.465544,0,0,0.790612,0,0,0.003375,0.648011,1.290568,0.399468,0,0.503205,0,0,0.081775,1.526198,0,0.088061,0,0.036617,0,0.007942,0,0,0,1.332234,0.439444,2.173702,0,0,0,0,0,0,0,0.923614,0.150902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster2
0.957704,0.813272,0.355214,0,0.878119,0.688753,0,0,0.250723,0,0,0,0,0.003727,0.366358,0,1.048779,0,0.416771,0,0,0.118867,0,0,0.077589,0,0.059243,1.979166,0.010133,0,0.951586,0.845423,0,0,0,0,0,0,0,0,0,1.594958,0,0.16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0.812129,0,0.570145,0,0,0,1.342247,1.948264,0,0,1.051023,0,0,0.004862,0.93201,1.715654,0,0,0.66895,0,0,0.09103,0,0,0.138644,0,0.056513,0,0.00879,0,0,0,0,0.584187,2.290013,0,0,0,0,0,0,0,1.227833,0.179509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
